,Unnamed: 0,avg_total_reward,avg_snake_size,avg_food_eaten,avg_moves,max_snake_size,max_food_eaten,max_moves,max_total_reward,model,combo
70,70,-12.5655,0.604,0.0225,9.7165,2,1,25,27.0,34,1
71,71,-12.8779,0.5955,0.03,9.619,3,2,22,53.7,35,1
72,72,-13.1476,0.5665,0.05,7.8715,3,2,19,54.3,0,2
73,73,-13.65655,0.559,0.039,6.6805,3,3,19,54.3,1,2
74,74,-11.40675,0.6325,0.0615,9.385,3,2,28,54.0,2,2
75,75,-11.46215,0.6295,0.0635,9.2035,3,2,25,53.400000000000006,3,2
76,76,-13.58135,0.56,0.0295,5.8405,3,2,14,54.3,4,2
77,77,-11.054200000000002,0.6475,0.038,9.633,3,2,20,54.3,5,2
78,78,-11.06955,0.644,0.049,9.55,3,2,20,54.0,6,2
79,79,-11.143099999999999,0.64,0.0625,9.303,3,2,24,54.3,7,2
80,80,-11.2202,0.6395,0.0585,9.383,3,2,22,54.3,8,2
81,81,-10.755150000000002,0.651,0.052,9.7445,2,2,19,27.0,9,2
82,82,-10.53905,0.6575,0.0485,9.93,2,1,18,27.0,10,2
83,83,-11.21715,0.635,0.046,9.689,3,2,18,52.8,11,2
84,84,-11.198049999999999,0.641,0.0585,9.447,3,2,26,54.3,12,2
85,85,-11.140600000000001,0.638,0.0615,9.3295,3,2,20,54.3,13,2
86,86,-11.889599999999998,0.6205,0.061,9.029,2,2,24,27.0,14,2
87,87,-10.128099999999998,0.6685,0.058,9.9095,3,2,18,54.3,15,2
88,88,-13.58845,0.561,0.042,7.206,3,2,21,54.0,16,2
89,89,-10.851849999999999,0.648,0.043,9.7715,2,2,17,27.0,17,2
90,90,-13.539549999999998,0.5615,0.04,6.455,3,2,17,54.3,18,2
91,91,-11.397549999999999,0.6375,0.061,9.368,3,2,26,54.3,19,2
92,92,-13.509400000000001,0.5535,0.0295,5.785,2,1,15,27.0,20,2
93,93,-11.390400000000001,0.634,0.0555,9.175,3,2,19,53.400000000000006,21,2
94,94,-11.142050000000001,0.645,0.067,9.1775,3,2,22,54.3,22,2
95,95,-10.6471,0.653,0.053,9.8005,2,1,18,27.0,23,2
96,96,-11.0942,0.6445,0.041,9.7295,2,1,18,27.0,24,2
97,97,-11.423,0.6365,0.065,9.225,3,2,22,54.3,25,2
98,98,-11.35415,0.6295,0.0565,9.3525,2,1,19,27.0,26,2
99,99,-13.0195,0.574,0.0465,7.7235,2,2,18,27.0,27,2
100,100,-11.785549999999999,0.6245,0.0575,9.2635,3,2,29,53.7,28,2
101,101,-13.467150000000002,0.561,0.0395,6.8305,4,3,16,81.3,29,2
102,102,-11.24785,0.633,0.0645,9.1085,3,2,26,53.1,30,2
103,103,-13.315700000000001,0.5685,0.0505,7.3885,3,2,24,54.0,31,2
104,104,-10.9656,0.645,0.07,9.2345,3,2,25,54.3,32,2
105,105,-13.366900000000001,0.5645,0.0385,6.7475,3,2,17,54.3,33,2
106,106,-13.409500000000001,0.566,0.0365,6.6225,3,2,18,54.3,34,2
107,107,-13.679900000000002,0.5555,0.028,6.0785,2,1,16,27.0,35,2
108,108,-13.11785,0.572,0.0455,7.735,3,2,23,54.0,0,3
109,109,-13.326300000000002,0.566,0.0405,6.6955,3,2,16,54.3,1,3
110,110,-11.12035,0.6455,0.058,9.507,3,2,24,54.3,2,3
111,111,-11.57165,0.6285,0.0555,9.046,3,2,23,54.3,3,3
112,112,-13.65425,0.5565,0.0285,5.72,3,2,14,54.3,4,3
113,113,-11.18905,0.6355,0.05,9.446,3,2,17,54.3,5,3
114,114,-11.358100000000002,0.631,0.057,9.304,3,2,19,52.5,6,3
